Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
Axis Innovation Fund Reg(G),Ashish Naik,EQ-THEM,4.01,3.15,1.74,8.02,2.44,2.32,3.89,-5.2,1.15,-0.11,Equity : Thematic
Axis Liquid Fund Reg(G),Devang Shah,DT-LIQ,0.67,0.61,0.6,0.56,0.6,0.58,0.59,0.59,0.57,0.59,Debt : Liquid
Axis Long Duration Fund Reg(G),Devang Shah,DT-LD,1.1,-1.3,2.48,1.26,0.7,1.09,1.82,-0.5,0.0,0.65,Debt : Long Duration
Axis Midcap Fund Reg(G),Shreyash Devalkar,EQ-MID,1.76,4.98,4.54,8.84,2.97,1.78,2.58,-6.21,0.77,1.5,Equity : Mid Cap
Axis Money Market Fund Reg(G),Devang Shah,DT-MM,0.77,0.6,0.61,0.56,0.7,0.58,0.64,0.62,0.57,0.59,Debt : Money Market
Axis Multi Asset Allocation Fund Reg(G),Ashish Naik,HY-MULTI,1.49,3.29,1.16,4.54,4.33,1.6,1.32,-2.54,-0.39,-0.71,Hybrid : Multi Asset Allocation
Axis Multicap Fund Reg(G),Shreyash Devalkar,EQ-MLC,0.28,3.84,2.76,8.57,4.52,3.17,3.35,-6.0,1.44,1.19,Equity : Multi Cap
Axis NASDAQ 100 FoF Reg(G),Krishnaa N,FOF-OVR,2.33,-3.06,3.23,8.75,-2.21,0.41,2.86,0.17,5.22,3.06,FoFs : Overseas
Axis Nifty 100 Index Fund Reg(G),Karthik Kumar,EQ-INDX,1.8,2.14,0.55,6.39,4.05,1.07,2.26,-6.79,-0.05,-2.3,Equity : Index Funds
Axis NIFTY 50 ETF,Karthik Kumar,EQ-ETF,1.57,1.23,0.02,6.73,3.96,1.35,2.28,-6.12,-0.26,-2.02,Equity : ETFs
Axis Nifty 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,1.6,1.19,-0.04,6.63,3.93,1.33,2.25,-6.12,-0.3,-2.04,Equity : Index Funds
Axis Nifty 500 Index Fund Reg(G),Karthik Kumar,EQ-INDX,-,-,-,-,-,0.96,2.02,-6.41,-0.06,-1.45,Equity : Index Funds
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,Aditya Pagaria,DT-ETF,0.65,0.5,0.68,0.58,0.79,0.61,0.66,0.64,0.53,0.52,Debt : ETFs
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF Reg(G),Aditya Pagaria,DT-M&LD,0.45,0.59,0.58,0.58,0.82,0.72,0.4,0.81,0.23,0.72,Debt : Medium to Long Duration
Axis NIFTY Bank ETF,Karthik Kumar,EQ-ETF,2.14,4.8,-0.32,6.91,-1.49,-0.18,3.14,-2.85,1.11,-2.27,Equity : ETFs
Axis Nifty Bank Index Fund Reg(G),Karthik Kumar,EQ-INDX,-,-,-,6.76,-1.6,-0.24,3.08,-2.89,1.02,-2.33,Equity : Index Funds
Axis NIFTY Healthcare ETF,Karthik Kumar,EQ-ETF,0.88,-0.73,-1.52,6.6,9.5,5.62,1.67,-2.22,-2.11,5.81,Equity : ETFs
Axis NIFTY India Consumption ETF,Karthik Kumar,EQ-ETF,3.18,2.7,0.66,6.61,6.1,2.44,6.16,-10.5,-0.22,-0.77,Equity : ETFs
Axis NIFTY IT ETF,Karthik Kumar,EQ-ETF,-7.48,-4.87,-1.61,11.61,13.08,4.75,-1.99,-3.13,6.73,0.41,Equity : ETFs
Axis NIFTY IT Index Fund Reg(G),Karthik Kumar,EQ-INDX,-7.45,-4.92,-1.68,11.52,12.97,4.7,-2.05,-3.2,6.67,0.34,Equity : Index Funds
Axis Nifty Midcap 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,-1.66,4.6,1.9,8.69,6.04,-0.27,1.46,-8.0,0.96,1.67,Equity : Index Funds
Axis Nifty Next 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,2.85,6.9,4.07,5.68,4.54,0.7,2.27,-9.3,1.15,-3.81,Equity : Index Funds
Axis Nifty SDL Sep 2026 Debt Index Fund Reg(G),Aditya Pagaria,DT-MD,0.6,0.47,0.8,0.7,0.8,0.74,0.68,0.6,0.45,0.47,Debt : Medium Duration
Axis Nifty Smallcap 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,-4.43,11.72,-1.8,10.84,4.35,2.56,0.05,-2.44,0.03,-0.61,Equity : Index Funds
Axis Nifty500 Value 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,-,-,-,-,-,-,-,-,-0.7,-5.43,Equity : Index Funds
Axis Overnight Fund Reg(G),Sachin Jain,DT-ON,0.58,0.53,0.55,0.53,0.54,0.54,0.53,0.54,0.52,0.56,Debt : Overnight
Axis Quant Fund Reg(G),Karthik Kumar,EQ-THEM,0.66,2.35,-1.15,6.01,4.7,1.63,1.09,-6.52,-1.7,-0.31,Equity : Thematic
Axis Retirement Fund Aggressive Plan Reg(G),Jayesh Sundar,HY-SOL,2.88,2.24,0.73,5.98,4.1,2.08,2.36,-4.93,0.0,-0.94,Hybrid : Solution Oriented
Axis Retirement Fund Conservative Plan Reg(G),Jayesh Sundar,HY-SOL,1.2,-0.36,0.48,3.04,2.24,1.7,1.67,-2.54,-0.02,-0.24,Hybrid : Solution Oriented
Axis Retirement Fund Dynamic Plan Reg(G),Jayesh Sundar,HY-SOL,2.6,2.42,0.75,6.24,4.85,2.62,2.75,-4.77,0.31,-0.1,Hybrid : Solution Oriented
Axis Short Duration Fund Reg(G),Devang Shah,DT-SD,0.72,0.29,0.8,0.54,0.86,0.69,0.8,0.5,0.63,0.57,Debt : Short Duration
Axis Silver ETF,Aditya Pagaria,GOLD-ETF,5.29,7.34,16.38,-4.97,-4.94,2.77,4.93,7.6,-7.46,-3.71,Gold : ETFs
Axis Silver FoF Reg(G),Aditya Pagaria,GOLD-MF,5.91,8.33,14.22,-4.28,-4.96,1.55,6.13,6.64,-7.24,-3.83,Gold : MFs
Axis Small Cap Fund Reg(G),Tejas Sheth,EQ-SML,-2.73,5.61,1.39,8.1,4.84,1.09,3.84,-4.1,0.76,0.83,Equity : Small Cap
Axis Strategic Bond Fund Reg(G),Devang Shah,DT-MD,0.8,0.18,1.04,0.6,0.84,0.79,0.91,0.43,0.67,0.57,Debt : Medium Duration
Axis Treasury Advantage Fund Reg(G),Devang Shah,DT-LOWD,0.71,0.59,0.61,0.56,0.72,0.59,0.63,0.66,0.56,0.56,Debt : Low Duration
Axis Ultra Short Duration Fund Reg(G),Sachin Jain,DT-USD,0.66,0.58,0.55,0.51,0.63,0.52,0.58,0.59,0.52,0.53,Debt : Ultra Short Duration
Axis Value Fund Reg(G),Nitin Arora,EQ-VAL,0.13,3.36,2.99,7.48,5.98,2.39,1.7,-4.85,0.6,0.11,Equity : Value / Contra
Bajaj Finserv Arbitrage Fund Reg(G),Ilesh Savla,HY-ARB,0.56,0.62,0.54,0.57,0.56,0.5,0.46,0.59,0.48,0.55,Hybrid : Arbitrage
Bajaj Finserv Balanced Advantage Fund Reg(G),Nimesh Chandan,HY-DYN,2.06,1.11,0.47,3.43,1.91,1.34,1.89,-4.98,-0.27,-1.66,Hybrid : Dynamic Asset Allocation
Bajaj Finserv Banking and PSU Fund Reg(G),Siddharth Chaudhary,DT-B&PSU,0.55,0.13,0.89,0.46,0.99,0.72,0.96,0.41,0.48,0.46,Debt : Banking & PSU
Bajaj Finserv Consumption Fund Reg(G),Nimesh Chandan,EQ-CONS,-,-,-,-,-,-,-,-,-,0.21,Equity : Thematic - Consumption
Bajaj Finserv Flexi Cap Fund Reg(G),Nimesh Chandan,EQ-FLEX,0.49,6.45,1.5,8.87,2.47,2.02,3.28,-5.13,0.94,-1.29,Equity : Flexi Cap
Bajaj Finserv Large and Mid Cap Fund Reg(G),Nimesh Chandan,EQ-L&M,1.43,3.91,2.57,7.7,4.06,1.91,1.96,-5.42,0.53,-0.42,Equity : Large & Mid Cap
Bajaj Finserv Large Cap Fund Reg(G),Nimesh Chandan,EQ-LC,-,-,-,-,-,-,2.78,-6.37,0.91,-2.94,Equity : Large Cap
Bajaj Finserv Liquid Fund Reg(G),Siddharth Chaudhary,DT-LIQ,0.64,0.61,0.59,0.56,0.6,0.57,0.58,0.58,0.56,0.57,Debt : Liquid
Bajaj Finserv Money Market Fund Reg(G),Siddharth Chaudhary,DT-MM,0.69,0.56,0.56,0.51,0.64,0.51,0.62,0.59,0.53,0.58,Debt : Money Market
Bajaj Finserv Multi Asset Allocation Fund Reg(G),Nimesh Chandan,HY-MULTI,-,-,-,-,4.52,0.74,1.01,-3.42,-1.16,-1.83,Hybrid : Multi Asset Allocation
Bajaj Finserv Nifty 1D Rate Liquid ETF(G),Siddharth Chaudhary,DT-ETF,-,-,-,0.45,0.54,0.59,0.48,0.52,0.48,0.53,Debt : ETFs
Bajaj Finserv Nifty 50 ETF,Ilesh Savla,EQ-ETF,1.56,1.24,0.02,6.74,3.98,1.37,2.26,-6.12,-0.26,-2.02,Equity : ETFs
Bajaj Finserv Nifty Bank ETF,Ilesh Savla,EQ-ETF,2.17,4.81,-0.32,6.92,-1.48,-0.18,3.19,-2.85,1.12,-2.32,Equity : ETFs
Bajaj Finserv Overnight Fund Reg(G),Siddharth Chaudhary,DT-ON,0.56,0.53,0.55,0.53,0.54,0.54,0.53,0.53,0.52,0.55,Debt : Overnight
Bandhan All Seasons Bond Fund Reg(G),Harshal Joshi,FOF-DOM,0.65,0.25,0.86,0.56,0.89,0.68,0.89,0.41,0.61,0.51,FoFs : Domestic
Bandhan Arbitrage Fund Reg(G),Nemish Sheth,HY-ARB,0.61,0.66,0.58,0.64,0.6,0.56,0.5,0.63,0.5,0.6,Hybrid : Arbitrage
Bandhan Asset Alloc FoF Aggr Reg(G),Viraj Kulkarni,FOF-DOM,1.01,2.13,0,5.7,2.42,2.41,1.9,-4.06,0.57,-0.29,FoFs : Domestic
Bandhan Asset Alloc FoF Cons Reg(G),Viraj Kulkarni,FOF-DOM,0.81,0.87,0.5,2.2,1.33,1.12,1.08,-1.28,0.52,0.15,FoFs : Domestic
Bandhan Asset Alloc FoF Mod Reg(G),Viraj Kulkarni,FOF-DOM,0.96,1.5,0.11,4.35,1.81,2.09,1.67,-2.68,0.7,0.08,FoFs : Domestic
Bandhan Balanced Advantage Fund Reg(G),Manish Gunwani,HY-DYN,1.24,2.39,0.65,3.32,2.49,1.41,1.26,-2.12,1.2,0.13,Hybrid : Dynamic Asset Allocation
Bandhan Banking & PSU Debt Fund Reg(G),Suyash Choudhary,DT-B&PSU,0.65,0.29,0.82,0.54,0.82,0.67,0.79,0.47,0.56,0.52,Debt : Banking & PSU
Bandhan Bond Fund   Income Plan Reg(G),Suyash Choudhary,DT-LD,0.7,-0.54,1.48,0.67,0.8,0.83,1.17,-0.06,0.27,0.38,Debt : Long Duration
Bandhan Bond Fund   Medium Term Plan Reg(G),Suyash Choudhary,DT-MD,0.63,0.01,0.95,0.47,0.98,0.74,0.96,0.24,0.58,0.47,Debt : Medium Duration
Bandhan Bond Fund   Short Term Plan Reg(G),Suyash Choudhary,DT-SD,0.67,0.24,0.89,0.58,0.9,0.7,0.88,0.39,0.6,0.5,Debt : Short Duration
Bandhan BSE Healthcare Index Fund Reg(G),Nemish Sheth,EQ-INDX,-,-,-,-,-,-,-,-0.82,-0.62,3.58,Equity : Index Funds
Bandhan BSE Sensex ETF,Nemish Sheth,EQ-ETF,1.55,1.09,-0.36,7.02,3.47,0.93,2.3,-5.71,0.53,-2.1,Equity : ETFs
Bandhan Business Cycle Fund Reg(G),Vishal Biraia,EQ-THEM,-,-,-,-,-,-,-,-2.59,0.45,-0.37,Equity : Thematic
Bandhan Conservative Hybrid Fund Reg(G),Viraj Kulkarni,HY-DT(CO),0.71,0.43,0.86,2.79,1.09,1.23,1.29,-1.92,0.35,-0.38,Hybrid : Debt Oriented (Conservative)
Bandhan Core Equity Fund Reg(G),Manish Gunwani,EQ-L&M,0.64,6.02,1.65,6.59,5.94,3.13,1.47,-6.67,0.46,-0.05,Equity : Large & Mid Cap
Bandhan Corp Bond Fund Reg(G),Suyash Choudhary,DT-CORP,0.57,0.2,0.9,0.54,0.88,0.72,0.89,0.49,0.57,0.5,Debt : Corporate Bond
Bandhan Credit Risk Fund Reg(G),Gautam Kaul,DT-CR,0.7,0.26,0.82,0.61,0.7,0.59,0.8,0.43,0.51,0.54,Debt : Credit Risk
Bandhan CRISIL IBX 90:10 SDL Plus Gilt   April 2032 Index Fund Reg(G),Gautam Kaul,DT-LD,0.72,-0.1,1.24,0.65,0.96,1.14,1.12,0.44,0.37,0.66,Debt : Long Duration
Bandhan CRISIL IBX 90:10 SDL Plus Gilt   Nov 2026 Index Fund Reg(G),Gautam Kaul,DT-M&LD,0.54,0.44,0.8,0.71,0.78,0.72,0.69,0.56,0.46,0.49,Debt : Medium to Long Duration
Bandhan CRISIL IBX 90:10 SDL Plus Gilt   Sep 2027 Index Fund Reg(G),Gautam Kaul,DT-GILT,0.5,0.48,0.81,0.82,0.89,0.76,0.74,0.5,0.42,0.46,Debt : Gilt
Bandhan CRISIL IBX Gilt April 2026 Index Fund Reg(G),Gautam Kaul,DT-GILT,0.53,0.38,0.73,0.63,0.76,0.61,0.66,0.48,0.48,0.52,Debt : Gilt
Bandhan CRISIL IBX Gilt April 2028 Index Fund Reg(G),Harshal Joshi,DT-GILT,0.58,0.14,0.96,0.74,0.94,0.72,0.82,0.35,0.5,0.52,Debt : Gilt
Bandhan CRISIL IBX Gilt April 2032 Index Fund Reg(G),Gautam Kaul,DT-LD,0.69,-0.21,1.43,0.56,1.25,0.93,1.33,-0.03,0.54,0.58,Debt : Long Duration
Bandhan CRISIL IBX Gilt June 2027 Index Fund Reg(G),Harshal Joshi,DT-GILT,0.57,0.18,0.91,0.73,0.91,0.71,0.73,0.34,0.65,0.43,Debt : Gilt
Bandhan Dynamic Bond Fund Reg(G),Suyash Choudhary,DT-DYN,0.89,-1.53,2.33,1.38,0.48,1.11,1.75,-0.55,0.04,0.34,Debt : Dynamic Bond
Bandhan ELSS Tax Saver Fund Reg(G),Daylynn Pinto,EQ-ELSS,0.58,2.53,-0.21,6.47,4.69,0.7,1.63,-6.41,-0.5,-1.35,Equity : Tax Saving (ELSS)
Bandhan Equity Savings Fund Reg(G),Nemish Sheth,HY-EQ,0.73,0.61,0.47,1.89,1.27,0.25,0.8,-0.47,0.22,0.34,Hybrid : Equity Oriented
Bandhan Financial Services Fund Reg(G),Ritu Modi,EQ-FIN,-1.74,5.73,-2.12,7.86,0.98,2.98,4.9,-3.65,0.4,-0.99,Equity : Sectoral - Financial Services
Bandhan Flexi Cap Fund Reg(G),Manish Gunwani,EQ-FLEX,2.21,3.61,0.45,6.8,3.75,1.87,2.78,-7.08,-0.38,-1.31,Equity : Flexi Cap
Bandhan Floating Rate Fund Reg(G),Brijesh Shah,DT-FL,0.62,0.32,0.87,0.61,0.9,0.7,0.88,0.44,0.63,0.56,Debt : Floater
Bandhan Focused Equity Fund Reg(G),Manish Gunwani,EQ-MLC,0.85,3.33,-1.62,10.04,1.39,6.15,3.34,-2.74,2.29,1.58,Equity : Multi Cap
Bandhan G Sec Constant Maturity Plan Reg(G),Harshal Joshi,DT-GL10Y,0.81,-0.46,1.62,0.69,1.14,0.99,1.4,-0.12,0.72,0.47,Debt : Gilt (10 Yr Constant Duration)
Bandhan G Sec Invest Reg(G),Suyash Choudhary,DT-GILT,0.93,-1.49,2.38,1.43,0.52,1.16,1.79,-0.52,0.08,0.37,Debt : Gilt
Bandhan Hybrid Equity Fund Reg(G),Prateek Poddar,HY-EQ,1.02,1.94,-0.88,5.94,5.07,3.1,3.34,-5.0,1.55,0.97,Hybrid : Equity Oriented
Bandhan Infrastructure Fund Reg(G),Vishal Biraia,EQ-INFRA,2.53,8.21,7.04,8.52,5.89,-2.54,0.25,-7.08,0.02,-0.8,Equity : Sectoral - Infrastructure
Bandhan Innovation Fund Reg(G),Manish Gunwani,EQ-THEM,-,-,0.98,8.31,7.89,4.81,4.53,-4.08,1.77,2.03,Equity : Thematic
Bandhan Large Cap Fund Reg(G),Manish Gunwani,EQ-LC,1.48,2.58,-0.21,8.08,3.35,2.89,2.42,-6.44,0.47,-0.92,Equity : Large Cap
Bandhan Liquid Fund Reg(G),Harshal Joshi,DT-LIQ,0.65,0.61,0.59,0.57,0.6,0.57,0.58,0.58,0.56,0.58,Debt : Liquid
Bandhan Long Duration Fund Reg(G),Gautam Kaul,DT-LD,-,-1.45,2.42,1.43,0.55,1.2,1.82,-0.46,0.11,0.44,Debt : Long Duration
Bandhan Low Duration Fund Reg(G),Harshal Joshi,DT-LOWD,0.67,0.55,0.62,0.57,0.64,0.57,0.61,0.63,0.52,0.54,Debt : Low Duration
Bandhan Midcap Fund Reg(G),Ritu Modi,EQ-MID,1.22,5.58,3.29,10.25,3.68,1.85,2.32,-5.77,1.69,1.94,Equity : Mid Cap
Bandhan Money Manager Fund Reg(G),Brijesh Shah,DT-MM,0.69,0.54,0.56,0.53,0.6,0.54,0.63,0.61,0.56,0.57,Debt : Money Market
Bandhan Multi Asset Allocation Fund Reg(G),Viraj Kulkarni,HY-MULTI,1.85,3.01,1.55,4.37,2.18,1.85,2.29,-2.76,-0.55,-1.08,Hybrid : Multi Asset Allocation
Bandhan Multi Cap Fund Reg(G),Daylynn Pinto,EQ-MLC,0.21,5.25,-0.49,8.28,4.92,1.29,1.62,-5.67,-0.56,-0.71,Equity : Multi Cap
Bandhan Nifty 100 Index Fund Reg(G),Nemish Sheth,EQ-INDX,1.7,2.19,0.59,6.39,4.09,1.1,2.28,-6.77,-0.03,-2.27,Equity : Index Funds
Bandhan Nifty 50 ETF,Nemish Sheth,EQ-ETF,1.57,1.24,0.01,6.73,3.97,1.35,2.26,-6.12,-0.26,-2.02,Equity : ETFs
Bandhan Nifty 50 Index Fund Reg(G),Nemish Sheth,EQ-INDX,1.52,1.19,-0.03,6.65,3.93,1.25,2.22,-6.21,-0.31,-2.07,Equity : Index Funds
Bandhan Nifty 500 Momentum 50 Index Fund Reg(G),Nemish Sheth,EQ-INDX,-,-,-,-,-,-,-,-,0.02,-3.68,Equity : Index Funds
Bandhan Nifty 500 Value 50 Index Fund Reg(G),Nemish Sheth,EQ-INDX,-,-,-,-,-,-,-,-,-0.73,-5.44,Equity : Index Funds
Bandhan Nifty Alpha 50 Index Fund Reg(G),Nemish Sheth,EQ-INDX,1.15,6.55,4.85,6,6.55,0.34,-0.3,-7.15,-0.1,0.1,Equity : Index Funds
Bandhan Nifty Bank Index Fund Reg(G),Nemish Sheth,EQ-INDX,-,-,-,-,-,-,3.16,-2.93,1.02,-2.37,Equity : Index Funds
Bandhan Nifty IT Index Fund Reg(G),Nemish Sheth,EQ-INDX,-7.56,-4.92,-1.69,11.53,13.1,4.71,-2.03,-3.21,6.68,0.34,Equity : Index Funds
Bandhan Nifty Midcap 150 Index Fund Reg(G),Nemish Sheth,EQ-INDX,-,-,-,-,-,-,-,-6.48,0.1,1.03,Equity : Index Funds
Bandhan Nifty Smallcap 250 Index Fund Reg(G),Nemish Sheth,EQ-INDX,-4.25,10.29,-1.34,9.34,4.88,1.27,1.23,-3.67,-0.21,0.14,Equity : Index Funds
Bandhan Nifty Total Market Index Fund Reg(G),Nemish Sheth,EQ-INDX,-,-,-,-,-,0.94,2.07,-6.32,-0.01,-1.42,Equity : Index Funds
Bandhan Nifty100 Low Volatility 30 Index Fund Reg(G),Nemish Sheth,EQ-INDX,0.73,-1.55,-0.05,6.86,5.99,2.35,3.57,-8.09,-1.91,-0.88,Equity : Index Funds
Bandhan Nifty200 Momentum 30 Index Fund Reg(G),Nemish Sheth,EQ-INDX,2.7,5.72,4.79,3.05,4.83,0.43,1.21,-8.25,-0.81,-4.17,Equity : Index Funds
Bandhan Overnight Fund Reg(G),Brijesh Shah,DT-ON,0.55,0.53,0.55,0.53,0.54,0.53,0.52,0.53,0.52,0.55,Debt : Overnight
Bandhan Retirement Fund Reg(G),Vishal Biraia,HY-SOL,1.56,1.95,1.21,4.08,1.79,1.26,1.35,-3.75,0.17,-0.32,Hybrid : Solution Oriented
Bandhan Small Cap Fund Reg(G),Manish Gunwani,EQ-SML,-2.27,9.69,-0.16,9.38,7.92,6.31,2.89,-3.83,0.78,-0.21,Equity : Small Cap
Bandhan Sterling Value Fund Reg(G),Daylynn Pinto,EQ-VAL,0.48,3.57,0.21,7.18,4.42,1.21,1.67,-5.87,-0.56,-1.4,Equity : Value / Contra
Bandhan Transportation and Logistics Fund Reg(G),Daylynn Pinto,EQ-AUTO,1.24,6.22,4.11,7.79,4.66,-0.55,1.23,-9.9,-1.07,-2.49,Equity : Sectoral - Auto
Bandhan Ultra Short Term Fund Reg(G),Harshal Joshi,DT-USD,0.68,0.62,0.6,0.58,0.6,0.57,0.6,0.62,0.54,0.57,Debt : Ultra Short Duration
Bandhan US Equity FoF Reg(G),Ritika Behera,FOF-OVR,3.2,-3.18,2.73,8.2,-4.21,3.21,1.64,0.9,5.92,1.04,FoFs : Overseas
Bandhan US Equity FoF Reg(IDCW),Ritika Behera,FOF-OVR,3.2,-3.18,2.73,8.2,-4.21,3.21,1.64,0.9,5.92,1.04,FoFs : Overseas
Bandhan US Treasury Bond 0 1 year FoF Reg(G),Brijesh Shah,FOF-OVR,0.94,0.54,0.22,0.59,0.8,0.65,0.34,0.67,0.85,1.51,FoFs : Overseas
Bank of India Arbitrage Fund Reg(G),Firdaus Marazban Ragina,HY-ARB,0.55,0.6,0.53,0.61,0.53,0.56,0.52,0.57,0.51,0.56,Hybrid : Arbitrage
Bank of India Balanced Advantage Fund Reg(G),Alok Singh,HY-DYN,1.06,1.51,0.37,3.97,1.9,-0.21,1.18,-4.28,-0.73,-1.77,Hybrid : Dynamic Asset Allocation
Bank of India Bluechip Fund Reg(G),Alok Singh,EQ-LC,2.04,2.66,0.19,6.14,2.56,-0.53,1.67,-5.99,0.56,-2.36,Equity : Large Cap
Bank of India Business Cycle Fund Reg(G),Alok Singh,EQ-THEM,-,-,-,-,-,-,0.8,-0.99,1.1,-2.68,Equity : Thematic
Bank of India Conservative Hybrid Fund Reg(G),Alok Singh,HY-DT(CO),0.28,0.44,0.47,2.02,0.57,0.5,0.05,-0.56,0.39,-0.45,Hybrid : Debt Oriented (Conservative)
Bank of India Credit Risk Fund Reg(G),Alok Singh,DT-CR,0.61,0.41,0.2,0.43,0.3,0.41,0.32,0.59,0.43,0.29,Debt : Credit Risk
Bank of India ELSS Tax Saver Reg(G),Alok Singh,EQ-ELSS,1.76,6.04,1.38,6.62,3.04,-0.5,-0.65,-3.93,0.45,-1.24,Equity : Tax Saving (ELSS)
Bank of India Flexi Cap Fund Reg(G),Alok Singh,EQ-FLEX,1.48,7.09,3.06,5.55,4.92,0.3,-0.46,-3.74,0.59,-0.67,Equity : Flexi Cap
Bank of India Large & Mid Cap Equity Fund Reg(G),Nitin Gosar,EQ-L&M,0.67,4.8,0.83,7.76,3.93,1.53,-1.39,-5.54,1.19,-2.78,Equity : Large & Mid Cap
Bank of India Liquid Fund Reg(G),Mithraem Bharucha,DT-LIQ,0.64,0.62,0.61,0.57,0.61,0.58,0.59,0.59,0.57,0.59,Debt : Liquid
Bank of India Mfg & Infra Fund Reg(G),Nitin Gosar,EQ-INFRA,1.72,7.38,1.91,8.23,3.88,1.99,0.08,-6.19,0.41,-2.47,Equity : Sectoral - Infrastructure
Bank of India Mid & Small Cap Equity & Debt Fund Reg(G),Alok Singh,HY-EQ,-0.18,5.94,1.33,7.25,3.64,2.28,-1.63,-3.04,1.37,1.14,Hybrid : Equity Oriented
Bank of India Multi Asset Allocation Fund Reg(G),Mithraem Bharucha,HY-MULTI,0.98,3.51,1.04,3.13,0.52,0.91,0.99,-1.25,0.1,-1.2,Hybrid : Multi Asset Allocation
Bank of India Multi Cap Fund Reg(G),Nitin Gosar,EQ-MLC,-0.07,6.5,0.12,7.9,4.32,2.65,-0.32,-5.08,1.02,-1.91,Equity : Multi Cap
Bank of India Overnight Fund Reg(G),Mithraem Bharucha,DT-ON,0.57,0.54,0.56,0.54,0.55,0.55,0.54,0.54,0.53,0.56,Debt : Overnight
Bank of India Short Term Income Fund Reg(G),Mithraem Bharucha,DT-SD,0.56,0.16,0.83,0.48,0.81,0.63,0.84,0.34,2.31,0.54,Debt : Short Duration
Bank of India Small Cap Fund Reg(G),Alok Singh,EQ-SML,-0.1,9.16,0.02,10.89,4.62,2.26,2.65,-2.76,0.87,-1.37,Equity : Small Cap
Bank of India Ultra Short Duration Fund Reg(G),Mithraem Bharucha,DT-USD,0.6,0.55,0.53,0.47,0.6,0.5,0.59,0.55,0.49,0.55,Debt : Ultra Short Duration
Baroda BNP Paribas Aggressive Hybrid Fund Reg(G),Jitendra Sriram,HY-EQ,2.18,1.99,0.76,5.57,3.02,1.43,1.46,-3.62,0.49,-0.7,Hybrid : Equity Oriented
Baroda BNP Paribas Aqua FoF Reg(G),Swapna Shelar,FOF-OVR,4.37,-3.89,2.55,-3.63,7.88,1.1,1.93,-6.13,2.79,-5.78,FoFs : Overseas
Baroda BNP Paribas Arbitrage Fund Reg(G),Neeraj Saxena,HY-ARB,0.6,0.68,0.62,0.67,0.55,0.68,0.43,0.53,0.5,0.54,Hybrid : Arbitrage
Baroda BNP Paribas Balanced Advantage Fund Reg(G),Sanjay Chawla,HY-DYN,1.22,2.43,0.86,3.81,2.28,1.49,1.28,-3.03,1.67,-0.48,Hybrid : Dynamic Asset Allocation
Baroda BNP Paribas Banking and Fin Serv Fund Reg(G),Sandeep Jain,EQ-FIN,1.07,5.65,-1.33,5.73,-0.1,1.28,6.01,-2.81,0.2,-1.25,Equity : Sectoral - Financial Services
Baroda BNP Paribas Banking and PSU Bond Fund Reg(G),Gurvinder Singh Wasan,DT-B&PSU,0.64,0.06,0.92,0.49,0.91,0.67,0.91,0.49,0.42,0.5,Debt : Banking & PSU
Baroda BNP Paribas Business Cycle Fund Reg(G),Jitendra Sriram,EQ-THEM,2.04,3.15,0.6,6.99,4.26,1.23,1.65,-5.7,0.56,-0.53,Equity : Thematic
Baroda BNP Paribas Conservative Hybrid Fund Reg(G),Pratish Krishnan,HY-DT(CO),1.01,0.92,0.68,1.71,1.08,0.93,1.15,-1.06,0.62,0.63,Hybrid : Debt Oriented (Conservative)
Baroda BNP Paribas Corp Bond Fund(G),Gurvinder Singh Wasan,DT-CORP,0.72,0.17,0.86,0.51,0.95,0.73,1.06,0.46,0.44,0.56,Debt : Corporate Bond
Baroda BNP Paribas Credit Risk Fund Reg(G),Gurvinder Singh Wasan,DT-CR,0.74,0.37,0.81,0.56,0.73,0.67,1.07,0.61,0.53,0.47,Debt : Credit Risk
Baroda BNP Paribas Dividend Yield Fund Reg(G),Shiv Chanani,EQ-DIV,-,-,-,-,-,-,-,-6.54,-0.77,-0.81,Equity : Thematic - Dividend Yield
Baroda BNP Paribas Dynamic Bond Fund(G),Prashant Pimple,DT-DYN,0.78,-0.51,1.63,0.64,0.9,0.7,1.41,-0.2,0.69,0.32,Debt : Dynamic Bond
Baroda BNP Paribas ELSS Tax Saver Fund Reg(G),Sanjay Chawla,EQ-ELSS,1.61,5.69,0.53,6.26,3.06,2.33,2.74,-4.24,1.19,0.01,Equity : Tax Saving (ELSS)
Baroda BNP Paribas Equity Savings Fund Reg(G),Pratish Krishnan,HY-EQ,1.02,1.46,0.38,2.65,1.22,1.34,1.48,-1.46,0.56,0.18,Hybrid : Equity Oriented
Baroda BNP Paribas Flexi Cap Fund Reg(G),Sanjay Chawla,EQ-FLEX,2.27,4.61,1.28,6.24,3.65,2.62,1.93,-5.64,0.09,0.11,Equity : Flexi Cap
